talhao,idade,prescrição,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,VPL
10,1,1,0,0,0,0,4116,0,0,0,0,4116,0,0,0,0,4116,0,-2023
10,1,4,0,0,0,0,4116,0,0,0,0,4116,0,0,0,0,0,4704,16566
10,1,7,0,0,0,0,4116,0,0,0,0,4116,0,0,0,0,0,0,42893
10,1,10,0,0,0,0,4116,0,0,0,0,0,4704,0,0,0,0,4116,17592
10,1,13,0,0,0,0,4116,0,0,0,0,0,4704,0,0,0,0,0,46138
10,1,19,0,0,0,0,4116,0,0,0,0,0,0,5187,0,0,0,0,43827
10,1,28,0,0,0,0,0,4704,0,0,0,0,4116,0,0,0,0,4116,19099
10,1,31,0,0,0,0,0,4704,0,0,0,0,4116,0,0,0,0,0,47645
10,1,37,0,0,0,0,0,4704,0,0,0,0,0,4704,0,0,0,0,48595
10,1,46,0,0,0,0,0,4704,0,0,0,0,0,0,5187,0,0,0,4139
10,1,55,0,0,0,0,0,0,5187,0,0,0,0,4116,0,0,0,0,45200
10,1,64,0,0,0,0,0,0,5187,0,0,0,0,0,4704,0,0,0,3762
10,1,73,0,0,0,0,0,0,5187,0,0,0,0,0,0,5187,0,0,-670
11,1,1,0,0,0,0,5520,0,0,0,0,5520,0,0,0,0,5520,0,-30554
11,1,4,0,0,0,0,5520,0,0,0,0,5520,0,0,0,0,0,6390,-3597
11,1,7,0,0,0,0,5520,0,0,0,0,5520,0,0,0,0,0,0,34224
11,1,10,0,0,0,0,5520,0,0,0,0,0,6390,0,0,0,0,5520,-1242
11,1,13,0,0,0,0,5520,0,0,0,0,0,6390,0,0,0,0,0,40221
11,1,19,0,0,0,0,5520,0,0,0,0,0,0,7080,0,0,0,0,37050
11,1,28,0,0,0,0,0,6390,0,0,0,0,5520,0,0,0,0,5520,2217
11,1,31,0,0,0,0,0,6390,0,0,0,0,5520,0,0,0,0,0,43680
11,1,37,0,0,0,0,0,6390,0,0,0,0,0,6390,0,0,0,0,45861
11,1,46,0,0,0,0,0,6390,0,0,0,0,0,0,7080,0,0,0,-12922
11,1,55,0,0,0,0,0,0,7080,0,0,0,0,5520,0,0,0,0,41199
11,1,64,0,0,0,0,0,0,7080,0,0,0,0,0,6390,0,0,0,-12629
11,1,73,0,0,0,0,0,0,7080,0,0,0,0,0,0,7080,0,0,-17423
12,1,1,0,0,0,0,3630,0,0,0,0,3630,0,0,0,0,3630,0,-54565
12,1,4,0,0,0,0,3630,0,0,0,0,3630,0,0,0,0,0,4290,-34565
12,1,7,0,0,0,0,3630,0,0,0,0,3630,0,0,0,0,0,0,-6175
12,1,10,0,0,0,0,3630,0,0,0,0,0,4290,0,0,0,0,3630,-31901
12,1,13,0,0,0,0,3630,0,0,0,0,0,4290,0,0,0,0,0,-814
12,1,19,0,0,0,0,3630,0,0,0,0,0,0,4818,0,0,0,0,-2311
12,1,28,0,0,0,0,0,4290,0,0,0,0,3630,0,0,0,0,3630,-27986
12,1,31,0,0,0,0,0,4290,0,0,0,0,3630,0,0,0,0,0,3101
12,1,37,0,0,0,0,0,4290,0,0,0,0,0,4290,0,0,0,0,5566
12,1,46,0,0,0,0,0,4290,0,0,0,0,0,0,4818,0,0,0,-31593
12,1,55,0,0,0,0,0,0,4818,0,0,0,0,3630,0,0,0,0,3367
12,1,64,0,0,0,0,0,0,4818,0,0,0,0,0,4290,0,0,0,-30123
12,1,73,0,0,0,0,0,0,4818,0,0,0,0,0,0,4818,0,0,-31432
13,2,1,0,0,0,7035,0,0,0,0,7035,0,0,0,0,7035,0,0,163334
13,2,4,0,0,0,7035,0,0,0,0,7035,0,0,0,0,0,8015,0,175708
13,2,7,0,0,0,7035,0,0,0,0,7035,0,0,0,0,0,0,8820,202781
13,2,10,0,0,0,7035,0,0,0,0,0,8015,0,0,0,0,7035,0,177204
13,2,13,0,0,0,7035,0,0,0,0,0,8015,0,0,0,0,0,8015,208272
13,2,16,0,0,0,7035,0,0,0,0,0,8015,0,0,0,0,0,0,252047
13,2,19,0,0,0,7035,0,0,0,0,0,0,8820,0,0,0,0,7035,203789
13,2,22,0,0,0,7035,0,0,0,0,0,0,8820,0,0,0,0,0,251263
13,2,28,0,0,0,0,8015,0,0,0,0,7035,0,0,0,0,7035,0,179402
13,2,31,0,0,0,0,8015,0,0,0,0,7035,0,0,0,0,0,8015,210470
13,2,34,0,0,0,0,8015,0,0,0,0,7035,0,0,0,0,0,0,254245
13,2,37,0,0,0,0,8015,0,0,0,0,0,8015,0,0,0,0,7035,211855
13,2,40,0,0,0,0,8015,0,0,0,0,0,8015,0,0,0,0,0,259329
13,2,46,0,0,0,0,8015,0,0,0,0,0,0,8820,0,0,0,0,255179
13,2,55,0,0,0,0,0,8820,0,0,0,0,7035,0,0,0,0,7035,205269
13,2,58,0,0,0,0,0,8820,0,0,0,0,7035,0,0,0,0,0,252743
13,2,64,0,0,0,0,0,8820,0,0,0,0,0,8015,0,0,0,0,254026
13,2,73,0,0,0,0,0,8820,0,0,0,0,0,0,8820,0,0,0,177609
14,2,1,0,0,0,8745,0,0,0,0,8745,0,0,0,0,8745,0,0,84981
